id,brand,model,version,year,km,sell_price,purchase_price
24,YAMAHA,X-MAX,250,2018,40000,   4990.0,
27,HONDA,LEAD,110,2017,12000,   2000.0,
31,SUZUKI,GSX,1250 FA,2017,19100,   7590.0,
37,YAMAHA,YZF,R1,2005,50000,   4690.0,
39,DUCATI,HYPERMOTARD,939,2021,9000,  12490.0,
40,KAWASAKI,Z,900,2018,22800,   6590.0,
51,KAWASAKI,[*AJ*] NINJA,650,2018,10000,   5790.0,
59,KAWASAKI,VN,900 CLASSIC,2009,35000,   4990.0,
62,SUZUKI,[*AJ*] BURGMAN,125,2009,30000,   1890.0,
64,HONDA,CB,500 X ABS,2020,10000,   5490.0,
67,YAMAHA,XJ6,600 DIVERSION S ABS,2011,36000,   4190.0,
69,KYMCO,[*AJ*] VENOX,250 I,2007,50000,    990.0,
82,HONDA,[*AJ*] CRF-1000L,AFRICA TWIN DCT,2018,60000,   9390.0,
85,BMW,[*AJ*] K,1600GTL,2018,20000,  17900.0,
89,HONDA,[*AJ*] CBR,600 F,2006,20000,   3590.0,
94,Kawasaki,[*AJ*] W,650,2001,50000,   4190.0,
98,SUZUKI,[*AJ*] GS,500 F,2006,60000,   1490.0,
99,HONDA,[*AJ*] CBR,600 RR,2019,10000,   8190.0,
104,YAMAHA,[*AJ*] T-MAX,530 ABS,2019,20000,   9190.0,
111,SUZUKI,[*AJ*] GSX,R 1000,2017,10000,  15990.0,
139,KAWASAKI,[*AJ*] ER,6F ABS,2012,80000,   2790.0,
143,HONDA,[*AJ*] SCOOPY,SH 125,2005,50000,   1290.0,
149,KTM,[*AJ*] DUKE,390,2019,20000,   4290.0,
165,HONDA,[*AJ*] CB,600 F HORNET,2007,40000,   3190.0,
174,HONDA,[*AJ*] X-ADV,750,2019,20000,   8490.0,
204,HONDA,FORZA,125,2019,10200,   3890.0,
205,SUZUKI,SV,650,2017,28000,   4290.0,
210,BMW,R,1200 R,2015,58000,   8490.0,
213,KAWASAKI,Z,900,2020,11000,   6790.0,
229,SUZUKI,INTRUDER,125,2007,10500,   1390.0,
233,KAWASAKI,VULCAN,S,2020,25520,   5890.0,
237,YAMAHA,[*AJ*] T-MAX,500,2002,80000,   2690.0,
239,KYMCO,[*AJ*] PEOPLE,125 S,2021,10000,   2390.0,
240,HONDA,NC,750S DTC ABS,2019,10854,   6490.0,
243,HONDA,CB,500 X,2020,28000,   4890.0,
246,PEUGEOT,TWEET,125,2021,5500,   2290.0,
247,KAWASAKI,[*AJ*] ZX,6R 636,2006,40000,   3890.0,
248,KYMCO,PEOPLE,50 S,2016,16000,    990.0,
249,KAWASAKI,Z,800,2016,19,   5790.0,
256,YAMAHA,XVS,650 A DRAG STAR CLASSIC,1997,7000,   3090.0,
261,DUCATI,[*AJ*] SCRAMBLER,ICON,2017,10000,   6490.0,
271,YAMAHA,T-MAX,530,2012,34800,   6890.0,
275,BENELLI,[*AJ*] LEONCINO,CINCUECENTO,2018,10000,   4990.0,
276,BENELLI,[*AJ*] LEONCINO,CINCUECENTO,2018,10000,   4890.0,
277,KYMCO,SUPER DINK,125 I ABS,2011,35000,   1890.0,
282,BMW,C,600 SPORT,2013,17150,   5490.0,
287,PIAGGIO,LIBERTY,125 4T,2018,2407,   1890.0,
297,APRILIA,[*AJ*] RSV,1000 R,2009,50000,   8490.0,
299,BMW,[*AJ*] K,1200 LT,1999,80000,   5490.0,
302,KEEWAY,RKS,125,2017,17000,   1490.0,
304,HONDA,X-ADV,750,2019,24000,   8090.0,
307,KYMCO,SUPER DINK,125 I,2010,32000,   1990.0,
309,KAWASAKI,ER,6N,2008,27000,   2990.0,
311,YAMAHA,X-MAX,125,2016,76000,   2090.0,
314,PIAGGIO,LIBERTY,S 125,2021,0,   2390.0,
326,KYMCO,[*AJ*] GRAND DINK,300 ABS,2018,10000,   2690.0,
338,SUZUKI,[*AJ*] VANVAN,125,2017,10000,   2790.0,
350,YAMAHA,X-MAX,300,2017,25500,   3890.0,
352,BMW,F,800 ST,2008,22551,   3590.0,
357,HONDA,[*AJ*] VARADERO,XL 1000V,2003,30000,   4990.0,
360,KAWASAKI,Z,650,2019,9000,   4890.0,
364,KYMCO,AGILITY,CITY 125,2021,15500,   1090.0,
373,YAMAHA,X-MAX,125 ABS,2021,7000,   4490.0,
374,HONDA,SCOOPY,SH 125 i CONFORT DISCO TOPBOX,2021,6000,   3190.0,
381,YAMAHA,T-MAX,530,2016,25000,   7490.0,
384,YAMAHA,NMAX,125cc,2019,6000,   2490.0,
390,KAWASAKI,Z,900,2020,6700,   6990.0,
394,BMW,[*AJ*] K,1200 S,2007,40000,   6590.0,
397,YAMAHA,T-MAX,530 ABS,2018,12000,   9290.0,
403,YAMAHA,T-MAX,530 ABS,2020,14000,   9790.0,
405,PEUGEOT,METROPOLIS,400,2015,14884,   4390.0,
406,YAMAHA,[*AJ*] FZ6,S S2,2007,60000,   2790.0,
407,dawdaw,dawdaw,adwadw,1996,1548,   1260.0,
410,KYMCO,[*AJ*] AGILITY,CITY 125,2020,10000,   1890.0,
415,YAMAHA,FZ6,N,2008,45000,   2590.0,
418,KAWASAKI,ER,6N,2007,37700,   2990.0,
427,SUZUKI,GSR,600,2007,40000,   2390.0,
428,HONDA,[*AJ*] CROSSRUNNER,V4,2016,20000,   9390.0,
435,BMW,K,1200 RS,2007,95000,   3590.0, 1000.0
437,HARLEY DAVIDSON,SPORTSTER,883 IRON,2019,9000,   9990.0,
439,YAMAHA,MT,10,2018,32620,  10490.0,
442,KAWASAKI,GTR,1400,2011,72900,   9290.0,
445,KEEWAY,RKV,125,2021,1887,   1890.0,
446,KTM,DUKE,390,2016,22,   3290.0, 2100.0
451,SUZUKI,GSX,R 750,2005,81900,   2490.0,
455,HONDA,[*AJ*] VFR,800 FI CON ABS,2003,80000,   3290.0,
456,HONDA,SILVER WING,400,2011,76000,   1990.0, 1000.0
460,KYMCO,ZING II,125,2006,12400,   1090.0,
466,KYMCO,AK,550,2020,1000,   7790.0,
468,HONDA,PAN-EUROPEAN,ST 1300 ABS,2008,120000,   5990.0,
470,SYM,JOYMAX,125 COMFORT,2017,20600,   2490.0, 1200.0
472,PIAGGIO,X9 EVOLUTION,500 ABS,2004,80000,    790.0,
481,YAMAHA,[*AJ*] FZ6,S,2005,40000,   2290.0,
483,SYM,JOYMAX,125 SPORT,2013,13200,   2890.0, 1100.0
485,YAMAHA,[*AJ*] X-MAX,250,2006,60000,    990.0,
487,KAWASAKI,NINJA,650,2019,5800,   5790.0,
490,HONDA,CB,600 F HORNET,2005,78000,   1690.0,
492,HONDA,CRF-1000L,AFRICA TWIN DCT,2017,6671,  12590.0,10500.0
494,KEEWAY,RKV,125,2017,25500,   1390.0,
501,PIAGGIO,LIBERTY,125 4T,2011,34000,   1190.0,
502,YAMAHA,YZF,R 125,2020,2701,   4190.0, 3300.0
516,YAMAHA,FZ6,N S2,2009,12500,   3290.0,
