name,brand,year,fuel,price
R 100 S   (1976-1979),BMW,1976,2,10016
R 100 S   (1976-1979),BMW,1977,2,3106
R 100 RT   (1978-1996),BMW,1978,2,7824
R 100 S   (1976-1979),BMW,1978,2,1583
R 100 RT   (1978-1996),BMW,1979,2,5597
R 100 S   (1976-1979),BMW,1979,2,10702
R 100 RT   (1978-1996),BMW,1980,2,9367
R 100 RT   (1978-1996),BMW,1981,2,5773
R 100 RT   (1978-1996),BMW,1982,2,2622
K 100   (1983-1994),BMW,1983,2,7941
R 100 RT   (1978-1996),BMW,1983,2,10927
F 650   (1984-1996),BMW,1984,2,6573
K 100   (1983-1994),BMW,1984,2,9667
K 100 RS   (1984-1994),BMW,1984,2,6722
K 100 RS Style   (1984),BMW,1984,2,9516
K 100 RT   (1984-1993),BMW,1984,2,3468
K 75   (1984-1996),BMW,1984,2,8387
R 100 RT   (1978-1996),BMW,1984,2,10576
R 80 ST   (1984),BMW,1984,2,1703
F 650   (1984-1996),BMW,1985,2,9989
K 100   (1983-1994),BMW,1985,2,8040
K 100 RS   (1984-1994),BMW,1985,2,1935
K 100 RT   (1984-1993),BMW,1985,2,9290
K 75   (1984-1996),BMW,1985,2,3103
R 100 RT   (1978-1996),BMW,1985,2,10838
F 650   (1984-1996),BMW,1986,2,4407
K 100   (1983-1994),BMW,1986,2,6871
K 100 LT   (1986-1994),BMW,1986,2,6546
K 100 RS   (1984-1994),BMW,1986,2,9576
K 100 RS Motorsport   (1986-1988),BMW,1986,2,2689
K 100 RT   (1984-1993),BMW,1986,2,10916
K 75   (1984-1996),BMW,1986,2,9647
K 75 RT   (1986-1994),BMW,1986,2,6396
K 75 S Special   (1986-1988),BMW,1986,2,9061
K 750   (1986-1999),BMW,1986,2,7665
R 100 RT   (1978-1996),BMW,1986,2,4983
R 80 GS   (1986-1992),BMW,1986,2,2722
F 650   (1984-1996),BMW,1987,2,9391
K 100   (1983-1994),BMW,1987,2,9263
K 100 LT   (1986-1994),BMW,1987,2,1673
K 100 RS   (1984-1994),BMW,1987,2,9172
K 100 RS Motorsport   (1986-1988),BMW,1987,2,4388
K 100 RT   (1984-1993),BMW,1987,2,4474
K 75   (1984-1996),BMW,1987,2,4302
K 75 RT   (1986-1994),BMW,1987,2,8913
K 75 S   (1987-1996),BMW,1987,2,9593
K 75 S Special   (1986-1988),BMW,1987,2,9451
K 750   (1986-1999),BMW,1987,2,1668
R 100 RS   (1987-1995),BMW,1987,2,7170
R 100 RT   (1978-1996),BMW,1987,2,6922
R 80 GS   (1986-1992),BMW,1987,2,1826
F 650   (1984-1996),BMW,1988,2,10497
K 100   (1983-1994),BMW,1988,2,10698
K 100 LT   (1986-1994),BMW,1988,2,1683
K 100 RS   (1984-1994),BMW,1988,2,10190
K 100 RS ABS   (1988-1993),BMW,1988,2,4762
K 100 RS Motorsport   (1986-1988),BMW,1988,2,8047
K 100 RT   (1984-1993),BMW,1988,2,9279
K 75   (1984-1996),BMW,1988,2,10501
K 75 C   (1988-1989),BMW,1988,2,8746
K 75 Mad Max   (1988),BMW,1988,2,4656
K 75 RT   (1986-1994),BMW,1988,2,6753
K 75 S   (1987-1996),BMW,1988,2,5304
K 75 S Special   (1986-1988),BMW,1988,2,3816
K 750   (1986-1999),BMW,1988,2,8053
R 100 GS   (1988-1993),BMW,1988,2,3064
R 100 RS   (1987-1995),BMW,1988,2,10260
R 100 RT   (1978-1996),BMW,1988,2,8164
